US,JFN,Ashtabula Northeast Ohio Rgnl Airport,Ashtabula,OH
US,JGQ,Houston Transco Tower Heliport,Houston,TX
US,JHC,Garden City Island Heliport,Garden City,NY
US,JHM,Kapalua Airport,Kapalua,HI
US,JHW,Jamestown Airport,Jamestown,NY
US,JHY,Cambridge Hyatt Regency H/P Heliport,Cambridge,MA
US,JID,Los Angeles City of Industry Heliport,Los Angeles,CA
US,JKV,Jacksonville Cherokee County Airport,Jacksonville,TX
US,JLA,Cooper Landing Quartz Creek Airport,Cooper Landing,AK
US,JLN,Joplin Regional Airport,Joplin,MO
US,JLX,Los Angeles Union Stn Annex H/P Heliport,Los Angeles,CA
US,JMC,Sausalito Commodore Center H/P Heliport,Sausalito,CA
US,JMH,Schaumburg Marriott Heliport,Schaumburg,IL
US,JMS,Jamestown Regional Airport,Jamestown,ND
US,JNU,Juneau International Airport,Juneau,AK
US,JOT,Joliet Regional Airport,Joliet,IL
US,JPN,Washington Pentagon AHP Heliport,Washington,DC
US,JRA,New York West 30th St Heliport,New York,NY
US,JRB,New York Downtown Manhattan H/P Heliport,New York,NY
US,JRD,Riverside Metro Center Heliport,Riverside,CA
US,JRE,New York East 60th Street H/P Heliport,New York,NY
US,JRF,Kapolei Kalaeloa Airport,Kapolei,HI
US,JSD,Stratford Sikorsky Heliport,Stratford,CT
US,JSG,San Rafael Heliport,San Rafael,CA
US,JSL,Atlantic City Steel Pier Heliport,Atlantic City,NJ
US,JST,Johnstown Cambria County Airport,Johnstown,PA
US,JVI,Manville Kupper Airport,Manville,NJ
US,JVL,Janesville Southern Wisconsin Rgn Apt,Janesville,WI
US,JWC,Los Angeles Warner Cntr Plaza Heliport,Los Angeles,CA
US,JWH,Houston Westchase Heliport,Houston,TX
US,JXN,Jackson Jackson County Airport,Jackson,MI
US,KAE,Kake Sea Plane Base Airport,Kake,AK
US,KAL,Kaltag Airport,Kaltag,AK
US,KBC,Birch Creek Airport,Birch Creek,AK
US,KBE,Bell Island Hot Springs SPB Airport,Bell Island,AK
US,KBW,Chignik Chignik Bay SPB Airport,Chignik,AK
US,KCC,Coffman Cove Sea Plane Base Airport,Coffman Cove,AK
US,KCG,Chignik Chignik Airport Airport,Chignik,AK
US,KCL,Chignik Chignik Lagoon Airport,Chignik,AK
US,KCN,Chernofski Harbor Sea Plane Base Airport,Chernofski Harbor,AK
US,KCQ,Chignik Chignik Lake Airport,Chignik,AK
US,KCR,Colorado Creek Airport,Colorado Creek,AK
US,KDK,Kodiak Municipal Airport,Kodiak,AK
US,KEB,Nanwalek Airport,Nanwalek,AK
US,KEH,Kenmore Kenmore Air Harbor SPB Airport,Kenmore,WA
US,KEK,Ekwok Airport,Ekwok,AK
US,KFP,False Pass Airport,False Pass,AK
US,KGK,Koliganek Airport,Koliganek,AK
US,KGX,Grayling Airport,Grayling,AK
US,KGZ,Glacier Creek Airport,Glacier Creek,AK
US,KIB,Ivanof Bay Sea Plane Base Airport,Ivanof Bay,AK
US,KIC,King City Mesa Del Rey Airport,King City,CA
US,KIP,Wichita Falls Kickapoo Downtown Airport,Wichita Falls,TX
US,KKA,Koyuk Alfred Adams Airport,Koyuk,AK
US,KKB,Kitoi Bay Sea Plane Base Airport,Kitoi Bay,AK
US,KKH,Kongiganak Airport,Kongiganak,AK
US,KKI,Akiachak Airport,Akiachak,AK
US,KKK,Kalakaket Creek Air Station Airport,Kalakaket Creek,AK
US,KKL,Karluk Lake Sea Plane Base Airport,Karluk Lake,AK
US,KKT,Kentland Municipal Airport,Kentland,IN
US,KKU,Ekuk Airport,Ekuk,AK
US,KLG,Kalskag Airport,Kalskag,AK
US,KLL,Levelock Airport,Levelock,AK
US,KLN,Larsen Bay Airport,Larsen Bay,AK
US,KLS,Kelso SW Washington Regional Airport,Kelso,WA
US,KLW,Klawock Airport,Klawock,AK
US,KMO,Manokotak Airport,Manokotak,AK
US,KMY,Moser Bay Sea Plane Base Airport,Moser Bay,AK
US,KNB,Kanab Municipal Airport,Kanab,UT
US,KNK,Kokhanok Airport,Kokhanok,AK
US,KNT,Kennett Memorial Airport,Kennett,MO
US,KNW,New Stuyahok Airport,New Stuyahok,AK
US,KOA,Kona Keahole Airport,Kona,HI
US,KOT,Kotlik Airport,Kotlik,AK
US,KOY,Olga Bay Sea Plane Base Airport,Olga Bay,AK
US,KOZ,Ouzinkie Airport,Ouzinkie,AK
US,KPB,Point Baker Sea Plane Base Airport,Point Baker,AK
US,KPC,Port Clarence Coast Guard Station Apt,Port Clarence,AK
US,KPD,King Of Prussia Airport,King Of Prussia,PA
US,KPN,Kipnuk Airport,Kipnuk,AK
US,KPR,Port Williams Sea Plane Base Airport,Port Williams,AK
US,KPT,Jackpot Hayden Field Airport,Jackpot,NV
US,KPV,Perryville Airport,Perryville,AK
US,KPY,Port Bailey Sea Plane Base Airport,Port Bailey,AK
US,KQA,Akutan Airport,Akutan,AK
US,KSM,St Mary's Airport,St Mary's,AK
US,KTB,Thorne Bay Sea Plane Base Airport,Thorne Bay,AK
US,KTH,Tikchik Tikchik Lodge SPB Airport,Tikchik,AK
US,KTN,Ketchikan International Airport,Ketchikan,AK
US,KTS,Brevig Mission Airport,Brevig Mission,AK
US,KUK,Kasigluk Airport,Kasigluk,AK
US,KVC,King Cove Airport,King Cove,AK
US,KVL,Kivalina Airport,Kivalina,AK
US,KWF,Waterfall Sea Plane Base Airport,Waterfall,AK
US,KWK,Kwigillingok Airport,Kwigillingok,AK
US,KWN,Quinhagak Airport,Quinhagak,AK
US,KWP,West Point West Point Village SPB Apt,West Point,AK
US,KWT,Kwethluk Airport,Kwethluk,AK
US,KXA,Kasaan Sea Plane Base Airport,Kasaan,AK
US,KYK,Karluk Airport,Karluk,AK
US,KYO,Tampa North Aero Park Airport,Tampa,FL
US,KYU,Koyukuk Airport,Koyukuk,AK
US,KZB,Zachar Bay Sea Plane Base Airport,Zachar Bay,AK
US,LAA,Lamar Municipal Airport,Lamar,CO
US,LAF,Lafayette Purdue University Airport,Lafayette,IN
US,LAL,Lakeland Linder Regional Airport,Lakeland,FL
US,LAM,Los Alamos Airport,Los Alamos,NM
US,LAN,Lansing Capital Region Intl Airport,Lansing,MI
US,LAR,Laramie Regional Airport,Laramie,WY
US,LAS,Las Vegas McCarran International Airport,Las Vegas,NV
US,LAW,Lawton/Fort Sill Regional Airport,Lawton/Fort Sill,OK
US,LAX,Los Angeles International Airport,Los Angeles,CA
US,LBB,Lubbock Preston Smith Intl Airport,Lubbock,TX
US,LBE,Latrobe Westmoreland County Airport,Latrobe,PA
US,LBF,North Platte Rgl(Lee Bird Fld) Airport,North Platte,NE
US,LBL,Liberal Mid-America Regional Airport,Liberal,KS
US,LBT,Lumberton Municipal Airport,Lumberton,NC
US,LCH,Lake Charles Regional Airport,Lake Charles,LA
US,LCI,Laconia Municipal Airport,Laconia,NH
US,LCK,Columbus Rickenbacker Intl Airport,Columbus,OH
US,LCQ,Lake City Lake City Gateway Airport,Lake City,FL
US,LDJ,Linden Airport,Linden,NJ
US,LDM,Ludington Mason County Airport,Ludington,MI
US,LEB,Lebanon Hanover Airport,Lebanon,NH
US,LEE,Leesburg International Airport,Leesburg,FL
US,LEM,Lemmon Municipal Airport,Lemmon,SD
US,LEW,Auburn/Lewiston Municipal Airport,Auburn/Lewiston,ME
US,LEX,Lexington Blue Grass Airport,Lexington,KY
US,LFI,Langley Air Force Base,Hampton,VA
US,LFK,Lufkin Angelina County Airport,Lufkin,TX
US,LFN,Louisburg Triangle North Exec. Airport,Louisburg,NC
US,LFT,Lafayette Regional Airport,Lafayette,LA
US,LGA,New York La Guardia Airport,New York,NY
US,LGB,Long Beach Daugherty Field Airport,Long Beach,CA
US,LGC,La Grange Callaway Airport,La Grange,GA
US,LGD,La Grande Union County Airport,La Grande,OR
US,LGF,Yuma Laguna AAF Airport,Yuma,AZ
US,LGU,Logan Logan-Cache Airport,Logan,UT
US,LHB,Lost Harbor Sea Port Ferry Port,Lost Harbor,AK
US,LHV,Lock Haven W T Piper Memorial Airport,Lock Haven,PA
US,LIC,Limon Municipal Airport,Limon,CO
US,LIH,Lihue Airport,Lihue,HI
US,LIT,Little Rock B. & H. Clinton Natl Airport,Little Rock,AR
US,LIV,Livengood Livengood Camp Airport,Livengood,AK
US,LIY,Hinesville/Ft Stewart MidCoast Rgl Apt,Hinesville/Ft Stewart,GA
US,LIZ,Limestone Loring AFB Airport,Limestone,ME
US,LJN,Texas Gulf Coast Rgnl Airport,Angleton/Lake Jackson,TX
US,LKE,Seattle Lake Union SPB Airport,Seattle,WA
US,LKK,Kulik Lake Airport,Kulik Lake,AK
US,LKP,Lake Placid Airport,Lake Placid,NY
US,LKV,Lakeview Lake County Airport,Lakeview,OR
US,LLX,Lyndonville Airport,Lyndonville,VT
US,LLY,Mount Holly Burlington County Airport,Mount Holly,NJ
US,LMA,Lake Minchumina Airport,Lake Minchumina,AK
US,LMS,Louisville Winston County Airport,Louisville,MS
US,LMT,Klamath Falls Airport,Klamath Falls,OR
US,LNA,Palm Beach County Park Airport,West Palm Beach,FL
US,LND,Lander Hunt Field Airport,Lander,WY
US,LNI,Lonely Air Station Airport,Lonely,AK
US,LNK,Lincoln Airport,Lincoln,NE
US,LNN,Willoughby Lost Nation Municipal Airport,Willoughby,OH
US,LNP,Wise Lonesome Pine Airport,Wise,VA
US,LNR,Lone Rock Tri-County Regional Airport,Lone Rock,WI
US,LNS,Lancaster Airport,Lancaster,PA
US,LNY,Lanai City Airport,Lanai City,HI
US,LOL,Lovelock Derby Field Airport,Lovelock,NV
US,LOR,Fort Rucker/Ozark Lowe AHP Heliport,Fort Rucker/Ozark,AL
US,LOT,Romeoville Lewis University Airport,Romeoville,IL
US,LOU,Louisville Bowman Field Airport,Louisville,KY
US,LOW,Louisa Louisa Co.-Freeman Fld Airport,Louisa,VA
US,LOZ,London/Corbin Magee Field Airport,London/Corbin,KY
US,LPC,Lompoc Lompoc Apt Airport,Lompoc,CA
US,LPO,LaPorte Municipal Airport,LaPorte,IN
US,LPS,Lopez Island Airport,Lopez Island,WA
US,LQK,Pickens Airport,Pickens,SC
US,LRD,Laredo International Airport,Laredo,TX
US,LRF,Jacksonville Little Rock AFB Airport,Jacksonville,AR
US,LRJ,Le Mars Municipal Airport,Le Mars,IA
US,LRU,Las Cruces International Airport,Las Cruces,NM
US,LSB,Lordsburg Municipal Airport,Lordsburg,NM
US,LSD,Lexington Creech Heliport,Lexington,KY
US,LSE,La Crosse Regional Airport,La Crosse,WI
US,LSF,Columbus Lawson AAF-Ft Benning Airport,Columbus,GA
US,LSK,Lusk Municipal Airport,Lusk,WY
US,LSN,Los Banos Municipal Airport,Los Banos,CA
US,LSV,Las Vegas Nellis AFB Airport,Las Vegas,NV
US,LTS,Altus AFB Airport,Altus,OK
US,LTW,Leonardtown St Mary's County Rgnl Apt,Leonardtown,MD
US,LUF,Phoenix Luke AFB Airport,Phoenix,AZ
US,LUK,Cincinnati Municipal (Lunken Fld) Apt,Cincinnati,OH
US,LUL,Hattiesburg Hesler-Noble Field Apt,Hattiesburg/Laurel,MS
US,LUP,Kalaupapa Airport,Kalaupapa,HI
US,LUR,Cape Lisburne Airport,Cape Lisburne,AK
US,LVD,Lime Village Airport,Lime Village,AK
US,LVK,Livermore Municipal Airport,Livermore,CA
US,LVL,Lawrenceville Brunswick Municipal Apt,Lawrenceville,VA
US,LVM,Livingston Mission Field Airport,Livingston,MT
US,LVS,Las Vegas Municipal Airport,Las Vegas,NM
US,LWB,Lewisburg Greenbrier Valley Airport,Lewisburg,WV
US,LWC,Lawrence Municipal Airport,Lawrence,KS
US,LWL,Wells Municipal-Harriet Fld Airport,Wells,NV
US,LWM,Lawrence Airport,Lawrence,MA
US,LWS,Lewiston Nez Perce County Airport,Lewiston,ID
US,LWT,Lewistown Municipal Airport,Lewistown,MT
US,LWV,Lawrenceville Vincennes Intl Airport,Lawrenceville,IL
US,LXN,Lexington Jim Kelly Field Airport,Lexington,NE
US,LXV,Leadville Lake County Airport,Leadville,CO
US,LYH,Lynchburg Regional-P. Glenn Fld Airport,Lynchburg,VA
US,LYO,Lyons Rice County Municipal Airport,Lyons,KS
US,LYU,Ely Municipal Airport,Ely,MN
US,LZU,Lawrenceville Gwinnett County Airport,Lawrenceville,GA
US,MAC,Macon Downtown Apt Airport,Macon,GA
US,MAE,Madera Municipal Airport,Madera,CA
US,MAF,Midland International Airport,Midland,TX
US,MAW,Malden Regional Airport,Malden,MO
US,MBG,Mobridge Municipal Airport,Mobridge,SD
US,MBL,Manistee Manistee Co. Blacker Airport,Manistee,MI
US,MBS,Midland/Bay C/Saginaw MBS Intl Airport,Midland/Bay City/Saginaw,MI
US,MBY,Moberly Omar N. Bradley Airport,Moberly,MO
US,MCB,McComb Pike County Airport,McComb,MS
US,MCC,Sacramento McClellan Airport,Sacramento,CA
US,MCD,Mackinac Island Airport,Mackinac Island,
US,MCE,Merced Regional Airport,Merced,CA
US,MCF,Tampa MacDill AFB Airport,Tampa,FL
US,MCG,McGrath Airport,McGrath,AK
US,MCI,Kansas City International Airport,Kansas City,MO
US,MCK,McCook Ben Nelson Regional Airport,McCook,NE
US,MCL,McKinley National Park Airport,McKinley,AK
US,MCN,Macon Middle Georgia Rgnl Airport,Macon,GA
US,MCO,Orlando International Airport,Orlando,FL
US,MCW,Mason City Municipal Airport,Mason City,IA
US,MDA,San Antonio Martindale AHP Heliport,San Antonio,TX
US,MDD,Midland Airpark Airport,Midland,TX
US,MDF,Medford Taylor County Airport,Medford,WI
US,MDH,Southern Illinois Airport,Carbondale/Murphysboro,IL
US,MDJ,Madras Municipal Airport,Madras,OR
US,MDN,Madison Municipal Airport,Madison,IN
US,MDO,Middleton Island Airport,Middleton Island,AK
US,MDT,Harrisburg International Airport,Harrisburg,PA
US,MDW,Chicago Midway International Airport,Chicago,IL
US,MEI,Meridian Regional (Key Field) Airport,Meridian,MS
US,MEJ,Meadville Airport,Meadville,PA
US,MEM,Memphis International Airport,Memphis,TN
US,MEO,Manteo Dare County Regional Airport,Manteo,NC
US,MER,Merced Castle Airport,Merced,CA
US,MEV,Minden Minden-Tahoe Airport,Minden,NV
US,MFD,Mansfield Lahm Regional Airport,Mansfield,OH
US,MFE,McAllen/Mission Miller Intl Airport,McAllen/Mission,TX
US,MFH,Mesquite Airport,Mesquite,NV
US,MFI,Marshfield Municipal Airport,Marshfield,WI
US,MFR,Medford Rogue Valley Intl Airport,Medford,OR
US,MFV,Melfa Accomack County Airport,Melfa,VA
US,MGC,Michigan City Municipal Airport,Michigan City,IN
US,MGE,Marietta Dobbins ARB Airport,Marietta,GA
US,MGI,National Wildlife Ref. Airport,Matagorda Island,TX
US,MGJ,Montgomery Orange County Airport,Montgomery,NY
US,MGM,Montgomery Regional-Dannelly Fld Airport,Montgomery,AL
US,MGR,Moultrie Municipal Airport,Moultrie,GA
US,MGW,Morgantown Municipal Airport,Morgantown,WV
US,MGY,Dayton Wright Brothers Airport,Dayton,OH
US,MHE,Mitchell Municipal Airport,Mitchell,SD
US,MHK,Manhattan Regional Airport,Manhattan,KS
US,MHL,Marshall Memorial Municipal Airport,Marshall,MO
US,MHN,Mullen Hooker County Airport,Mullen,NE
US,MHR,Sacramento Mather Airport,Sacramento,CA
US,MHS,Mount Shasta Dunsmuir Municipal Airport,Mount Shasta,CA
US,MHT,Manchester Manchester-Boston Airport,Manchester,NH
US,MHV,Mojave Airport,Mojave,CA
US,MIA,Miami International Airport,Miami,FL
US,MIB,Minot AFB Airport,Minot,ND
US,MIC,Minneapolis/St Paul Crystal Airport,Minneapolis/St Paul,MN
US,MIE,Muncie Delaware County Rgnl Airport,Muncie,IN
US,MIF,Monahans Roy Hurd Memorial Airport,Monahans,TX
US,MIO,Miami Municipal Airport,Miami,
US,MIQ,Omaha Millard Airport,Omaha,NE
US,MIT,Shafter Minter Field Airport,Shafter,CA
US,MIV,Millville Airport,Millville,NJ
US,MIW,Marshalltown Municipal Airport,Marshalltown,IA
US,MJQ,Jackson Municipal Airport,Jackson,MN
US,MJX,Toms River Robert J. Miller Airport,Toms River,NJ
US,MKC,Kansas City C.B. Wheeler Downtown Apt,Kansas City,MO
US,MKE,Milwaukee General Mitchell Intl Airport,Milwaukee,WI
US,MKG,Muskegon Muskegon County Airport,Muskegon,MI
US,MKK,Hoolehua Molokai Airport,Hoolehua,HI
US,MKL,Jackson McKellar-Sipes Rgnl Airport,Jackson,TN
US,MKO,Muskogee Davis Field Airport,Muskogee,OK
US,MKT,Mankato Regional Airport,Mankato,MN
US,MLB,Melbourne International Airport,Melbourne,FL
US,MLC,McAlester Regional Airport,McAlester,OK
US,MLD,Malad City Airport,Malad City,ID
US,MLF,Milford Municipal Airport,Milford,UT
US,MLI,Moline Quad City Intl Airport,Moline,IL
US,MLJ,Milledgeville Baldwin County Airport,Milledgeville,GA
US,MLK,Malta Airport,Malta,MT
US,MLL,Marshall Don Hunter Sr. Airport,Marshall,AK
US,MLS,Miles City Frank Wiley Field Airport,Miles City,MT
US,MLT,Millinocket Airport,Millinocket,ME
US,MLU,Monroe Regional Airport,Monroe,LA
US,MLY,Manley Hot Springs Airport,Manley Hot Springs,AK
US,MMH,Mammoth Lakes Mammoth Yosemite Airport,Mammoth Lakes,CA
US,MMI,Athens McMinn County Airport,Athens,TN
US,MML,Marshall SW Minnesota Rgnl Airport,Marshall,MN
US,MMN,Stow Minute Man Airfield Airport,Stow,MA
US,MMR,Austin Mabry ARNG Heliport,Austin,TX
US,MMS,Marks Selfs Airport,Marks,MS
US,MMT,Columbia McEntire JNGB Airport,Columbia,SC
US,MMU,Morristown Municipal Airport,Morristown,NJ
US,MNM,Menominee Menominee-Marinette Airport,Menominee,MI
US,MNN,Marion Municipal Airport,Marion,OH
US,MNT,Minto Al Wright Airport,Minto,AK
US,MNZ,Manassas Regional Airport,Manassas,VA
US,MOB,Mobile Regional Airport,Mobile,AL
US,MOD,Modesto City-County Airport,Modesto,CA
US,MOP,Mount Pleasant Municipal Airport,Mount Pleasant,MI
US,MOR,Morristown Moore-Murrell Airport,Morristown,TN
US,MOS,Moses Point Airport,Moses Point,AK
US,MOT,Minot International Airport,Minot,ND
US,MOU,Mountain Village Airport,Mountain Village,AK
US,MOX,Morris Municipal Airport,Morris,MN
US,MPB,Miami Sea Plane Base Airport,Miami,FL
US,MPE,Madison Griswold Airport,Madison,CT
US,MPJ,Morrilton Petit Jean Park Airport,Morrilton,AR
US,MPO,Mt Pocono Airport,Mt Pocono,PA
US,MPR,McPherson Airport,McPherson,KS
US,MPS,Mount Pleasant Regional Airport,Mount Pleasant,TX
US,MPV,Barre/Montpelier Airport,Barre/Montpelier,VT
US,MPZ,Mount Pleasant Municipal Airport,Mount Pleasant,IA
US,MQB,Macomb Municipal Airport,Macomb,IL
US,MQI,Quincy Airport,Quincy,MA
US,MQT,Marquette Sawyer International Airport,Marquette,MI
US,MQW,McRae Telfair-Wheeler Airport,McRae,GA
US,MQY,Smyrna Airport,Smyrna,TN
US,MRB,Martinsburg Eastern W.V. Rgl Airport,Martinsburg,WV
US,MRC,Columbia/Mt Pleasant Maury County Apt,Columbia/Mt Pleasant,TN
US,MRF,Marfa Municipal Airport,Marfa,TX
US,MRI,Anchorage Merrill Field Airport,Anchorage,AK
US,MRK,Marco Island Airport,Marco Island,FL
US,MRN,Morganton 35 49 13 N 081 36 41 W Airport,Morganton,NC
US,MRY,Monterey/Carmel Monterey Rgl Airport,Monterey/Carmel,CA
US,MSC,Phoenix Falcon Field Airport,Phoenix,AZ
US,MSD,Mount Pleasant Airport,Mount Pleasant,UT
US,MSL,Northwest Alabama Rgnl Airport,Muscle Shoals/Florence,AL
US,MSN,Madison Dane County Regional Airport,Madison,WI
US,MSO,Missoula International Airport,Missoula,MT
US,MSP,Minneapolis/St Paul Intl Airport,Minneapolis/St Paul,MN
US,MSS,Massena Richards Field Airport,Massena,NY
US,MSV,Monticello Sullivan County Intl Airport,Monticello,NY
US,MSY,New Orleans Louis Armstrong Intl Airport,New Orleans,LA
US,MTC,Mount Clemens Selfridge ANGB Airport,Mount Clemens,MI
US,MTH,Marathon The Florida Keys Airport,Marathon,FL
US,MTJ,Montrose Regional Airport,Montrose,CO
US,MTM,Metlakatla Sea Plane Base Airport,Metlakatla,AK
US,MTN,Baltimore Martin State Airport,Baltimore,MD
US,MTO,Coles County Memorial Airport,Mattoon/Charleston,IL
US,MTP,Montauk Sky Portal Airport,Montauk,NY
US,MTW,Manitowoc Manitowoc County Airport,Manitowoc,WI
US,MTX,Fairbanks Metro Field Airport,Fairbanks,AK
US,MUE,Kamuela Waimea-Kohala Airport,Kamuela,HI
US,MUI,Fort Indiantown Muir AAF Airport,Fort Indiantown,PA
US,MUL,Moultrie Spence Airport,Moultrie,GA
US,MUO,Mountain Home AFB Airport,Mountain Home,ID
US,MUT,Muscatine Municipal Airport,Muscatine,IA
US,MUU,Mount Union Airport,Mount Union,PA
US,MUV,Philadelphia Mustin Alf Airport,Philadelphia,PA
US,MVC,Monroeville Monroe County Airport,Monroeville,AL
US,MVE,Montevideo Chippewa County Airport,Montevideo,MN
US,MVL,Stowe Morrisville-Stowe Airport,Stowe,VT
US,MVM,Kayenta Airport,Kayenta,AZ
US,MVN,Mount Vernon Airport,Mount Vernon,IL
US,MVW,Burlington/Mt Vernon Skagit Rgl Airport,Burlington/Mt Vernon,WA
US,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA
US,MWA,Marion Williamson County Rgnl Airport,Marion,IL
US,MWC,Milwaukee Lawrence J Timmerman Airport,Milwaukee,WI
US,MWH,Moses Lake Grant County Intl Airport,Moses Lake,WA
US,MWL,Mineral Wells Airport,Mineral Wells,TX
US,MWM,Windom Municipal Airport,Windom,MN
US,MWO,Middletown Regional (Hook Field) Airport,Middletown,OH
US,MXA,Manila Municipal Airport,Manila,AR
US,MXC,Monticello Airport,Monticello,UT
US,MXE,Laurinburg/Maxton Airport,Laurinburg/Maxton,NC
US,MXF,Montgomery Maxwell AFB Airport,Montgomery,AL
US,MXG,Marlborough Airport,Marlborough,MA
US,MXO,Monticello Regional Airport,Monticello,IA
US,MXY,McCarthy Airport,McCarthy,AK
US,MYF,San Diego Montgomery Field Airport,San Diego,CA
US,MYH,Marble Canyon Airport,Marble Canyon,AZ
US,MYK,May Creek Airport,May Creek,AK
US,MYL,McCall Municipal Airport,McCall,ID
US,MYR,Myrtle Beach International Airport,Myrtle Beach,SC
US,MYU,Mekoryuk Airport,Mekoryuk,AK
US,MYV,Marysville Yuba County Airport,Marysville,CA
US,MZJ,Marana Pinal Airpark Airport,Marana,AZ
US,MZZ,Marion Municipal Airport,Marion,IN
US,NBG,New Orleans NAS JRB/A.Callender Airport,New Orleans,LA
US,NBP,New York Battery Pk City/N. Cov Airport,New York,NY
US,NCN,Chenega Chenega Bay Airport,Chenega,AK
US,NCO,Quonset Point NAS Airport,Quonset Point,RI
US,NEA,Glynco NAS Airport,Glynco,GA
US,NEL,Lakehurst Naec Airport,Lakehurst,NJ
US,NEN,Jacksonville Whitehouse NOLF Airport,Jacksonville,FL
US,NES,New York East 34th St Landing Airport,New York,NY
US,NEW,New Orleans Lakefront Airport,New Orleans,LA
US,NFL,Fallon NAS-Van Voorhis Field Airport,Fallon,NV
US,NGF,Kaneohe Kaneohe Bay MCAS Airport,Kaneohe,HI
US,NGP,Corpus Christi NAS (Truax Field) Airport,Corpus Christi,TX
US,NGU,Norfolk Oceana NAS Airport,Norfolk,VA
US,NGW,Corpus Christi Cabaniss Field NOLF Apt,Corpus Christi,TX
US,NHK,Patuxent River NAS (Trapnell Field) Apt,Patuxent River,MD
US,NHX,Foley Barin NOLF Airport,Foley,AL
US,NHZ,Brunswick NAS Airport,Brunswick,ME
US,NIB,Nikolai Airport,Nikolai,AK
US,NIN,Ninilchik Airport,Ninilchik,AK
US,NIP,Jacksonville NAS (Towers Field) Airport,Jacksonville,FL
US,NIR,Beeville Chase Field Industrial Airport,Beeville,TX
US,NJK,Imperial/El Centro El Centro NAF Airport,Imperial/El Centro,CA
US,NKI,Naukiti Bay Sea Plane Base Airport,Naukiti Bay,AK
US,NKX,San Diego Miramar MCAS Airport,San Diego,CA
US,NLC,Lemoore NAS (Reeves Field) Airport,Lemoore,CA
US,NLE,Niles Jerry Tyler Memorial Airport,Niles,MI
US,NLG,Nelson Lagoon Airport,Nelson Lagoon,AK
US,NLN,Arcata/Eureka Kneeland Airport,Arcata/Eureka,CA
US,NME,Nightmute Airport,Nightmute,AK
US,NNK,Naknek Airport,Naknek,AK
US,NNL,Nondalton Airport,Nondalton,AK
US,NOT,Novato Marin County Airport,Novato,CA
US,NPA,Pensacola NAS (F.Sherman Field) Airport,Pensacola,FL
US,NPH,Nephi Municipal Airport,Nephi,UT
US,NPT,Newport State Airport,Newport,RI
US,NQA,Millington Regional Jetport Airport,Millington,TN
US,NQI,Kingsville NAS Airport,Kingsville,TX
US,NQX,Key West NAS (Boca Chica Field) Airport,Key West,FL
US,NRB,Mayport Naval Station Airport,Mayport,FL
US,NRC,Crows Landing Airport,Crows Landing,CA
US,NRI,Afton Grand Lake Regional Airport,Afton,OK
US,NRS,Imperial Beach NOLF (Ream Field) Airport,Imperial Beach,CA
US,NSE,Milton Whiting Fild NAS North Airport,Milton,FL
US,NSL,Slayton Municipal Airport,Slayton,MN
US,NTD,Port Mugu NAS Airport,Port Mugu,CA
US,NTJ,Manti/Ephraim Airport,Manti/Ephraim,UT
US,NTU,Virginia Beach Oceana NAS Airport,Virginia Beach,VA
US,NUI,Nuiqsut Airport,Nuiqsut,AK
US,NUL,Nulato Airport,Nulato,AK
US,NUN,Pensacola Saufley Field NOLF Airport,Pensacola,FL
US,NUP,Nunapitchuk Airport,Nunapitchuk,AK
US,NUQ,Mountain View Moffett Federal Airfld Apt,Mountain View,CA
US,NUW,Oak Harbor Whidbey Island NAS Airport,Oak Harbor,WA
US,NVD,Nevada Municipal Airport,Nevada,MO
US,NVN,Beckwourth Nervino Airport,Beckwourth,CA
US,NWH,Newport Parlin Field Airport,Newport,NH
US,NWS,New York Pier 11/Wall St. SPB Airport,New York,NY
US,NXX,Willow Grove NAS Airport,Willow Grove,PA
US,NYC,New York Metropolitan Area,New York,NY
US,NYG,Quantico MCAF (Turner Field) Airport,Quantico,VA
US,NYS,New York Skyports Seaplane Base,New York,NY
US,NZW,South Weymouth Airport,South Weymouth,MA
US,NZY,San Diego North Island NAS Airport,San Diego,CA
US,OAJ,Jacksonville Albert J Ellis Airport,Jacksonville,NC
US,OAK,Oakland International Airport,Oakland,CA
US,OAR,Monterey/Carmel Marina Municipal Airport,Monterey/Carmel,CA
US,OBE,Okeechobee Okeechobee County Airport,Okeechobee,FL
US,OBU,Kobuk Airport,Kobuk,AK
US,OCA,Key Largo Ocean Reef Club Airport,Key Largo,FL
US,OCE,Ocean City Municipal Airport,Salisbury/Ocean City,MD
US,OCF,Ocala Intl (Jim Taylor Fld) Airport,Ocala,FL
US,OCH,Nacogdoches A.L. Mangham Jr. Rgnl Apt,Nacogdoches,TX
US,OCN,Oceanside Municipal Airport,Oceanside,CA
US,OCW,Washington Warren Field Airport,Washington,NC
US,ODC,Oakdale Airport,Oakdale,CA
US,ODM,Oakland Garrett County Airport,Oakland,MD
US,ODW,Oak Harbor A.J. Eisenberg Airport,Oak Harbor,WA
US,OEO,Osceola L.O. Simenstad Muni Airport,Osceola,WI
US,OFF,Omaha Offutt AFB Airport,Omaha,NE
US,OFK,Norfolk Regional Airport,Norfolk,NE
US,OGA,Ogallala Searle Field Airport,Ogallala,NE
US,OGB,Orangeburg Municipal Airport,Orangeburg,SC
US,OGD,Ogden Hinckley Airport,Ogden,UT
US,OGG,Kahului Airport,Kahului,HI
